Algorithm Data.
a,b,c,
90.3467,45.3151,13.1795,7.05843,12.83
90.4786,45.3857,13.1873,7.06393,12.84
90.6105,45.4564,13.195,7.06943,12.85
90.7425,45.5272,13.2028,7.07493,12.86
90.8746,45.598,13.2106,7.08043,12.87
91.0068,45.6688,13.2183,7.08593,12.88
91.1391,45.7398,13.226,7.09144,12.89
91.2714,45.8107,13.2338,7.09694,12.9
91.4038,45.8818,13.2415,7.10244,12.91
91.5363,45.9528,13.2492,7.10794,12.92
91.6689,46.024,13.257,7.11344,12.93
91.8016,46.0952,13.2647,7.11894,12.94
91.9343,46.1664,13.2724,7.12444,12.95
92.0671,46.2377,13.2801,7.12995,12.96
92.2,46.3091,13.2878,7.13545,12.97
92.3329,46.3805,13.2955,7.14095,12.98
92.4659,46.4519,13.3032,7.14645,12.99
92.5991,46.5234,13.3109,7.15195,13
92.7322,46.595,13.3186,7.15745,13.01
92.8655,46.6667,13.3263,7.16296,13.02
92.9988,46.7383,13.3339,7.16846,13.03
93.1323,46.8101,13.3416,7.17396,13.04
93.2657,46.8819,13.3493,7.17946,13.05
93.3993,46.9537,13.3569,7.18496,13.06
93.533,47.0256,13.3646,7.19046,13.07
93.6667,47.0976,13.3723,7.19596,13.08
93.8005,47.1696,13.3799,7.20147,13.09
93.9344,47.2417,13.3876,7.20697,13.1
94.0683,47.3138,13.3952,7.21247,13.11
94.2023,47.386,13.4028,7.21797,13.12
94.3364,47.4582,13.4105,7.22347,13.13
94.4706,47.5305,13.4181,7.22897,13.14
94.6049,47.6028,13.4257,7.23447,13.15
94.7392,47.6752,13.4333,7.23998,13.16
94.8736,47.7477,13.4409,7.24548,13.17
95.0081,47.8202,13.4485,7.25098,13.18
95.1427,47.8928,13.4561,7.25648,13.19
95.2773,47.9654,13.4637,7.26198,13.2
95.412,48.0381,13.4713,7.26748,13.21
95.5468,48.1108,13.4789,7.27299,13.22
95.6817,48.1836,13.4865,7.27849,13.23
95.8166,48.2564,13.4941,7.28399,13.24
95.9516,48.3293,13.5016,7.28949,13.25
96.0867,48.4023,13.5092,7.29499,13.26
96.2219,48.4753,13.5168,7.30049,13.27
96.3571,48.5483,13.5243,7.30599,13.28
96.4925,48.6214,13.5319,7.3115,13.29
96.6278,48.6946,13.5394,7.317,13.3
96.7633,48.7678,13.547,7.3225,13.31
96.8989,48.8411,13.5545,7.328,13.32
97.0345,48.9145,13.5621,7.3335,13.33
97.1702,48.9878,13.5696,7.339,13.34
97.306,49.0613,13.5771,7.3445,13.35
97.4418,49.1348,13.5846,7.35001,13.36
97.5777,49.2083,13.5922,7.35551,13.37
97.7137,49.282,13.5997,7.36101,13.38
97.8498,49.3556,13.6072,7.36651,13.39
97.9859,49.4293,13.6147,7.37201,13.4
98.1222,49.5031,13.6222,7.37751,13.41
98.2585,49.5769,13.6297,7.38302,13.42
98.3948,49.6508,13.6372,7.38852,13.43
98.5313,49.7248,13.6447,7.39402,13.44
98.6678,49.7988,13.6521,7.39952,13.45
98.8044,49.8728,13.6596,7.40502,13.46
98.9411,49.9469,13.6671,7.41052,13.47
99.0778,50.0211,13.6745,7.41602,13.48
99.2146,50.0953,13.682,7.42153,13.49
99.3515,50.1696,13.6895,7.42703,13.5
99.4885,50.2439,13.6969,7.43253,13.51
99.6255,50.3183,13.7044,7.43803,13.52
99.7627,50.3927,13.7118,7.44353,13.53
99.8998,50.4672,13.7192,7.44903,13.54
100.037,50.5417,13.7267,7.45453,13.55
100.174,50.6163,13.7341,7.46004,13.56
100.312,50.691,13.7415,7.46554,13.57
100.449,50.7657,13.749,7.47104,13.58
100.587,50.8405,13.7564,7.47654,13.59
100.725,50.9153,13.7638,7.48204,13.6
100.862,50.9902,13.7712,7.48754,13.61
101,51.0651,13.7786,7.49305,13.62
101.138,51.1401,13.786,7.49855,13.63
101.276,51.2151,13.7934,7.50405,13.64
101.414,51.2902,13.8008,7.50955,13.65
101.552,51.3654,13.8081,7.51505,13.66
101.69,51.4406,13.8155,7.52055,13.67
101.828,51.5158,13.8229,7.52605,13.68
101.967,51.5912,13.8303,7.53156,13.69
102.105,51.6665,13.8376,7.53706,13.7
102.243,51.742,13.845,7.54256,13.71
102.382,51.8174,13.8523,7.54806,13.72
102.521,51.893,13.8597,7.55356,13.73
102.659,51.9686,13.867,7.55906,13.74
102.798,52.0442,13.8744,7.56456,13.75
102.937,52.1199,13.8817,7.57007,13.76
103.076,52.1957,13.889,7.57557,13.77
103.215,52.2715,13.8964,7.58107,13.78
103.354,52.3473,13.9037,7.58657,13.79
103.493,52.4233,13.911,7.59207,13.8
103.632,52.4992,13.9183,7.59757,13.81
103.771,52.5753,13.9256,7.60308,13.82
103.911,52.6514,13.9329,7.60858,13.83
104.05,52.7275,13.9402,7.61408,13.84
104.189,52.8037,13.9475,7.61958,13.85
104.329,52.8799,13.9548,7.62508,13.86
104.469,52.9562,13.9621,7.63058,13.87
104.608,53.0326,13.9694,7.63608,13.88
104.748,53.109,13.9766,7.64159,13.89
104.888,53.1855,13.9839,7.64709,13.9
105.028,53.262,13.9912,7.65259,13.91
105.168,53.3386,13.9984,7.65809,13.92
105.308,53.4152,14.0057,7.66359,13.93
105.448,53.4919,14.0129,7.66909,13.94
105.588,53.5687,14.0202,7.67459,13.95
105.728,53.6455,14.0274,7.6801,13.96
105.869,53.7223,14.0347,7.6856,13.97
106.009,53.7992,14.0419,7.6911,13.98
106.15,53.8762,14.0491,7.6966,13.99
106.29,53.9532,14.0563,7.7021,14
106.431,54.0303,14.0636,7.7076,14.01
106.572,54.1074,14.0708,7.71311,14.02
106.712,54.1846,14.078,7.71861,14.03
106.853,54.2619,14.0852,7.72411,14.04
106.994,54.3392,14.0924,7.72961,14.05
107.135,54.4165,14.0996,7.73511,14.06
107.276,54.4939,14.1068,7.74061,14.07
107.417,54.5714,14.114,7.74611,14.08
107.559,54.6489,14.1212,7.75162,14.09
107.7,54.7265,14.1283,7.75712,14.1
107.841,54.8041,14.1355,7.76262,14.11
107.983,54.8818,14.1427,7.76812,14.12
108.124,54.9595,14.1498,7.77362,14.13
108.266,55.0373,14.157,7.77912,14.14
108.407,55.1151,14.1641,7.78463,14.15
108.549,55.193,14.1713,7.79013,14.16
108.691,55.271,14.1784,7.79563,14.17
108.833,55.349,14.1856,7.80113,14.18
108.975,55.4271,14.1927,7.80663,14.19
109.117,55.5052,14.1998,7.81213,14.2
109.259,55.5834,14.207,7.81763,14.21
109.401,55.6616,14.2141,7.82314,14.22
109.543,55.7399,14.2212,7.82864,14.23
109.685,55.8182,14.2283,7.83414,14.24
109.828,55.8966,14.2354,7.83964,14.25
109.97,55.9751,14.2425,7.84514,14.26
110.113,56.0536,14.2496,7.85064,14.27
110.255,56.1322,14.2567,7.85614,14.28
110.398,56.2108,14.2638,7.86165,14.29
110.541,56.2894,14.2709,7.86715,14.3
110.683,56.3682,14.278,7.87265,14.31
110.826,56.4469,14.2851,7.87815,14.32
110.969,56.5258,14.2921,7.88365,14.33
111.112,56.6047,14.2992,7.88915,14.34
111.255,56.6836,14.3063,7.89466,14.35
111.398,56.7626,14.3133,7.90016,14.36
111.542,56.8417,14.3204,7.90566,14.37
111.685,56.9208,14.3274,7.91116,14.38
111.828,57,14.3345,7.91666,14.39
111.972,57.0792,14.3415,7.92216,14.4
112.115,57.1585,14.3485,7.92766,14.41
112.259,57.2378,14.3556,7.93317,14.42
112.402,57.3172,14.3626,7.93867,14.43
112.546,57.3966,14.3696,7.94417,14.44
112.69,57.4761,14.3766,7.94967,14.45
112.834,57.5557,14.3836,7.95517,14.46
112.977,57.6353,14.3906,7.96067,14.47
113.121,57.7149,14.3976,7.96617,14.48
113.265,57.7947,14.4046,7.97168,14.49
113.41,57.8744,14.4116,7.97718,14.5
113.554,57.9543,14.4186,7.98268,14.51
113.698,58.0341,14.4256,7.98818,14.52
113.842,58.1141,14.4326,7.99368,14.53
113.987,58.1941,14.4395,7.99918,14.54
114.131,58.2741,14.4465,8.00469,14.55
114.276,58.3542,14.4535,8.01019,14.56
114.42,58.4344,14.4604,8.01569,14.57
114.565,58.5146,14.4674,8.02119,14.58
114.71,58.5948,14.4743,8.02669,14.59
114.855,58.6752,14.4813,8.03219,14.6
114.999,58.7555,14.4882,8.03769,14.61
115.144,58.836,14.4952,8.0432,14.62
115.289,58.9165,14.5021,8.0487,14.63
115.434,58.997,14.509,8.0542,14.64
115.58,59.0776,14.5159,8.0597,14.65
115.725,59.1583,14.5229,8.0652,14.66
115.87,59.239,14.5298,8.0707,14.67
116.016,59.3197,14.5367,8.0762,14.68
116.161,59.4005,14.5436,8.08171,14.69
116.306,59.4814,14.5505,8.08721,14.7
116.452,59.5623,14.5574,8.09271,14.71
116.598,59.6433,14.5643,8.09821,14.72
116.743,59.7244,14.5712,8.10371,14.73
116.889,59.8055,14.578,8.10921,14.74
117.035,59.8866,14.5849,8.11472,14.75
117.181,59.9678,14.5918,8.12022,14.76
117.327,60.0491,14.5987,8.12572,14.77
117.473,60.1304,14.6055,8.13122,14.78
117.619,60.2117,14.6124,8.13672,14.79
117.765,60.2932,14.6192,8.14222,14.8
117.912,60.3746,14.6261,8.14772,14.81
118.058,60.4562,14.6329,8.15323,14.82
118.204,60.5378,14.6398,8.15873,14.83
118.351,60.6194,14.6466,8.16423,14.84
118.497,60.7011,14.6534,8.16973,14.85
118.644,60.7828,14.6603,8.17523,14.86
118.791,60.8647,14.6671,8.18073,14.87
118.937,60.9465,14.6739,8.18623,14.88
119.084,61.0284,14.6807,8.19174,14.89
119.231,61.1104,14.6875,8.19724,14.9
119.378,61.1924,14.6943,8.20274,14.91
119.525,61.2745,14.7011,8.20824,14.92
119.672,61.3567,14.7079,8.21374,14.93
119.819,61.4388,14.7147,8.21924,14.94
119.966,61.5211,14.7215,8.22475,14.95
120.114,61.6034,14.7283,8.23025,14.96
120.261,61.6858,14.7351,8.23575,14.97
120.408,61.7682,14.7418,8.24125,14.98
120.556,61.8506,14.7486,8.24675,14.99
120.703,61.9332,14.7554,8.25225,15
120.851,62.0157,14.7621,8.25775,15.01
120.999,62.0984,14.7689,8.26326,15.02
121.147,62.1811,14.7756,8.26876,15.03
121.294,62.2638,14.7824,8.27426,15.04
121.442,62.3466,14.7891,8.27976,15.05
121.59,62.4294,14.7958,8.28526,15.06
121.738,62.5124,14.8026,8.29076,15.07
121.886,62.5953,14.8093,8.29626,15.08
122.035,62.6783,14.816,8.30177,15.09
122.183,62.7614,14.8227,8.30727,15.1
122.331,62.8445,14.8294,8.31277,15.11
122.479,62.9277,14.8361,8.31827,15.12
122.628,63.011,14.8428,8.32377,15.13
122.776,63.0942,14.8495,8.32927,15.14
122.925,63.1776,14.8562,8.33478,15.15
123.074,63.261,14.8629,8.34028,15.16
123.222,63.3445,14.8696,8.34578,15.17
123.371,63.428,14.8763,8.35128,15.18
123.52,63.5115,14.883,8.35678,15.19
123.669,63.5952,14.8896,8.36228,15.2
123.818,63.6788,14.8963,8.36778,15.21
123.967,63.7626,14.903,8.37329,15.22
124.116,63.8464,14.9096,8.37879,15.23
124.265,63.9302,14.9163,8.38429,15.24
124.414,64.0141,14.9229,8.38979,15.25
124.563,64.0981,14.9296,8.39529,15.26
124.713,64.1821,14.9362,8.40079,15.27
124.862,64.2661,14.9429,8.40629,15.28
125.012,64.3502,14.9495,8.4118,15.29
125.161,64.4344,14.9561,8.4173,15.3
125.311,64.5186,14.9627,8.4228,15.31
125.461,64.6029,14.9693,8.4283,15.32
125.61,64.6873,14.976,8.4338,15.33
125.76,64.7717,14.9826,8.4393,15.34
125.91,64.8561,14.9892,8.44481,15.35
126.06,64.9406,14.9958,8.45031,15.36
126.21,65.0252,15.0024,8.45581,15.37
126.36,65.1098,15.009,8.46131,15.38
126.51,65.1944,15.0155,8.46681,15.39
126.661,65.2792,15.0221,8.47231,15.4
126.811,65.3639,15.0287,8.47781,15.41
126.961,65.4488,15.0353,8.48332,15.42
127.112,65.5337,15.0418,8.48882,15.43
127.262,65.6186,15.0484,8.49432,15.44
127.413,65.7036,15.055,8.49982,15.45
127.563,65.7887,15.0615,8.50532,15.46
127.714,65.8738,15.0681,8.51082,15.47
127.865,65.9589,15.0746,8.51632,15.48
128.015,66.0442,15.0811,8.52183,15.49
128.166,66.1294,15.0877,8.52733,15.5
128.317,66.2148,15.0942,8.53283,15.51
128.468,66.3001,15.1007,8.53833,15.52
128.619,66.3856,15.1073,8.54383,15.53
128.771,66.4711,15.1138,8.54933,15.54
128.922,66.5566,15.1203,8.55484,15.55
129.073,66.6422,15.1268,8.56034,15.56
129.224,66.7279,15.1333,8.56584,15.57
129.376,66.8136,15.1398,8.57134,15.58
129.527,66.8994,15.1463,8.57684,15.59
129.679,66.9852,15.1528,8.58234,15.6
129.83,67.0711,15.1593,8.58784,15.61
129.982,67.157,15.1657,8.59335,15.62
130.134,67.243,15.1722,8.59885,15.63
130.285,67.329,15.1787,8.60435,15.64
130.437,67.4151,15.1852,8.60985,15.65
130.589,67.5013,15.1916,8.61535,15.66
130.741,67.5875,15.1981,8.62085,15.67
130.893,67.6738,15.2045,8.62635,15.68
131.045,67.7601,15.211,8.63186,15.69
131.198,67.8464,15.2174,8.63736,15.7
131.35,67.9329,15.2239,8.64286,15.71
131.502,68.0194,15.2303,8.64836,15.72
131.654,68.1059,15.2367,8.65386,15.73
131.807,68.1925,15.2432,8.65936,15.74
131.959,68.2791,15.2496,8.66487,15.75
132.112,68.3658,15.256,8.67037,15.76
132.265,68.4526,15.2624,8.67587,15.77
132.417,68.5394,15.2688,8.68137,15.78
132.57,68.6263,15.2752,8.68687,15.79
132.723,68.7132,15.2816,8.69237,15.8
132.876,68.8002,15.288,8.69787,15.81
133.029,68.8872,15.2944,8.70338,15.82
133.182,68.9743,15.3008,8.70888,15.83
133.335,69.0615,15.3072,8.71438,15.84
133.488,69.1487,15.3136,8.71988,15.85
133.641,69.2359,15.3199,8.72538,15.86
133.794,69.3232,15.3263,8.73088,15.87
133.948,69.4106,15.3327,8.73638,15.88
134.101,69.498,15.339,8.74189,15.89
134.255,69.5855,15.3454,8.74739,15.9
134.408,69.673,15.3517,8.75289,15.91
134.562,69.7606,15.3581,8.75839,15.92
134.715,69.8482,15.3644,8.76389,15.93
134.869,69.9359,15.3708,8.76939,15.94
135.023,70.0237,15.3771,8.7749,15.95
135.177,70.1115,15.3834,8.7804,15.96
135.33,70.1993,15.3898,8.7859,15.97
135.484,70.2872,15.3961,8.7914,15.98
135.638,70.3752,15.4024,8.7969,15.99
135.793,70.4632,15.4087,8.8024,16
135.947,70.5513,15.415,8.8079,16.01
136.101,70.6394,15.4213,8.81341,16.02
136.255,70.7276,15.4276,8.81891,16.03
136.41,70.8159,15.4339,8.82441,16.04
136.564,70.9042,15.4402,8.82991,16.05
136.718,70.9925,15.4465,8.83541,16.06
136.873,71.0809,15.4528,8.84091,16.07
137.028,71.1694,15.459,8.84641,16.08
137.182,71.2579,15.4653,8.85192,16.09
137.337,71.3465,15.4716,8.85742,16.1
137.492,71.4351,15.4778,8.86292,16.11
137.646,71.5238,15.4841,8.86842,16.12
137.801,71.6126,15.4904,8.87392,16.13
137.956,71.7013,15.4966,8.87942,16.14
138.111,71.7902,15.5028,8.88493,16.15
138.266,71.8791,15.5091,8.89043,16.16
138.422,71.9681,15.5153,8.89593,16.17
138.577,72.0571,15.5216,8.90143,16.18
138.732,72.1461,15.5278,8.90693,16.19
138.887,72.2353,15.534,8.91243,16.2
139.043,72.3244,15.5402,8.91793,16.21
139.198,72.4137,15.5464,8.92344,16.22
139.354,72.503,15.5526,8.92894,16.23
139.509,72.5923,15.5588,8.93444,16.24
139.665,72.6817,15.565,8.93994,16.25
139.821,72.7712,15.5712,8.94544,16.26
139.977,72.8607,15.5774,8.95094,16.27
140.132,72.9502,15.5836,8.95644,16.28
140.288,73.0399,15.5898,8.96195,16.29
140.444,73.1295,15.596,8.96745,16.3
140.6,73.2193,15.6022,8.97295,16.31
140.756,73.3091,15.6083,8.97845,16.32
140.913,73.3989,15.6145,8.98395,16.33
141.069,73.4888,15.6206,8.98945,16.34
141.225,73.5787,15.6268,8.99496,16.35
141.381,73.6687,15.633,9.00046,16.36
141.538,73.7588,15.6391,9.00596,16.37
141.694,73.8489,15.6452,9.01146,16.38
141.851,73.9391,15.6514,9.01696,16.39
142.007,74.0293,15.6575,9.02246,16.4
142.164,74.1196,15.6637,9.02796,16.41
142.321,74.2099,15.6698,9.03347,16.42
142.477,74.3003,15.6759,9.03897,16.43
142.634,74.3908,15.682,9.04447,16.44
142.791,74.4813,15.6881,9.04997,16.45
142.948,74.5718,15.6942,9.05547,16.46
143.105,74.6624,15.7003,9.06097,16.47
143.262,74.7531,15.7064,9.06647,16.48
143.419,74.8438,15.7125,9.07198,16.49
143.576,74.9346,15.7186,9.07748,16.5
143.734,75.0254,15.7247,9.08298,16.51
143.891,75.1163,15.7308,9.08848,16.52
144.048,75.2072,15.7369,9.09398,16.53
144.206,75.2982,15.7429,9.09948,16.54
144.363,75.3893,15.749,9.10499,16.55
144.521,75.4804,15.7551,9.11049,16.56
144.678,75.5715,15.7611,9.11599,16.57
144.836,75.6628,15.7672,9.12149,16.58
144.994,75.754,15.7732,9.12699,16.59
145.152,75.8454,15.7793,9.13249,16.6
145.309,75.9367,15.7853,9.13799,16.61
145.467,76.0282,15.7914,9.1435,16.62
145.625,76.1197,15.7974,9.149,16.63
145.783,76.2112,15.8034,9.1545,16.64
145.941,76.3028,15.8094,9.16,16.65
146.1,76.3945,15.8155,9.1655,16.66
146.258,76.4862,15.8215,9.171,16.67
146.416,76.5779,15.8275,9.1765,16.68
146.574,76.6698,15.8335,9.18201,16.69
146.733,76.7616,15.8395,9.18751,16.7
146.891,76.8536,15.8455,9.19301,16.71
147.05,76.9455,15.8515,9.19851,16.72
147.208,77.0376,15.8575,9.20401,16.73
147.367,77.1297,15.8635,9.20951,16.74
147.526,77.2218,15.8695,9.21502,16.75
147.684,77.314,15.8754,9.22052,16.76
147.843,77.4063,15.8814,9.22602,16.77
148.002,77.4986,15.8874,9.23152,16.78
148.161,77.591,15.8933,9.23702,16.79
148.32,77.6834,15.8993,9.24252,16.8
148.479,77.7759,15.9053,9.24802,16.81
148.638,77.8684,15.9112,9.25353,16.82
148.797,77.961,15.9171,9.25903,16.83
148.957,78.0537,15.9231,9.26453,16.84
149.116,78.1464,15.929,9.27003,16.85
149.275,78.2391,15.935,9.27553,16.86
149.435,78.3319,15.9409,9.28103,16.87
149.594,78.4248,15.9468,9.28654,16.88
149.754,78.5177,15.9527,9.29204,16.89
149.913,78.6107,15.9587,9.29754,16.9
150.073,78.7037,15.9646,9.30304,16.91
150.233,78.7968,15.9705,9.30854,16.92
150.392,78.8899,15.9764,9.31404,16.93
150.552,78.9831,15.9823,9.31954,16.94
150.712,79.0764,15.9882,9.32505,16.95
150.872,79.1697,15.9941,9.33055,16.96
151.032,79.2631,15.9999,9.33605,16.97
151.192,79.3565,16.0058,9.34155,16.98
151.352,79.4499,16.0117,9.34705,16.99
151.512,79.5435,16.0176,9.35255,17
151.673,79.637,16.0234,9.35805,17.01
151.833,79.7307,16.0293,9.36356,17.02
151.993,79.8244,16.0352,9.36906,17.03
152.154,79.9181,16.041,9.37456,17.04
152.314,80.0119,16.0469,9.38006,17.05
152.475,80.1058,16.0527,9.38556,17.06
152.635,80.1997,16.0586,9.39106,17.07
152.796,80.2936,16.0644,9.39657,17.08
152.957,80.3877,16.0702,9.40207,17.09
153.117,80.4817,16.0761,9.40757,17.1
153.278,80.5759,16.0819,9.41307,17.11
153.439,80.6701,16.0877,9.41857,17.12
153.6,80.7643,16.0935,9.42407,17.13
153.761,80.8586,16.0993,9.42957,17.14
153.922,80.9529,16.1052,9.43508,17.15
154.083,81.0474,16.111,9.44058,17.16
154.244,81.1418,16.1168,9.44608,17.17
154.406,81.2363,16.1226,9.45158,17.18
154.567,81.3309,16.1283,9.45708,17.19
154.728,81.4255,16.1341,9.46258,17.2
154.89,81.5202,16.1399,9.46808,17.21
155.051,81.6149,16.1457,9.47359,17.22
155.213,81.7097,16.1515,9.47909,17.23
155.374,81.8046,16.1572,9.48459,17.24
155.536,81.8995,16.163,9.49009,17.25
155.697,81.9944,16.1688,9.49559,17.26
155.859,82.0894,16.1745,9.50109,17.27
156.021,82.1845,16.1803,9.5066,17.28
156.183,82.2796,16.186,9.5121,17.29
156.345,82.3748,16.1918,9.5176,17.3
156.507,82.47,16.1975,9.5231,17.31
156.669,82.5653,16.2032,9.5286,17.32
156.831,82.6607,16.209,9.5341,17.33
156.993,82.7561,16.2147,9.5396,17.34
157.155,82.8515,16.2204,9.54511,17.35
157.317,82.947,16.2261,9.55061,17.36
157.48,83.0426,16.2319,9.55611,17.37
157.642,83.1382,16.2376,9.56161,17.38
157.805,83.2339,16.2433,9.56711,17.39
157.967,83.3296,16.249,9.57261,17.4
158.13,83.4254,16.2547,9.57811,17.41
158.292,83.5212,16.2604,9.58362,17.42
158.455,83.6171,16.2661,9.58912,17.43
158.618,83.7131,16.2717,9.59462,17.44
158.78,83.8091,16.2774,9.60012,17.45
158.943,83.9051,16.2831,9.60562,17.46
159.106,84.0012,16.2888,9.61112,17.47
159.269,84.0974,16.2944,9.61663,17.48
159.432,84.1936,16.3001,9.62213,17.49
159.595,84.2899,16.3058,9.62763,17.5
159.758,84.3862,16.3114,9.63313,17.51
159.921,84.4826,16.3171,9.63863,17.52
160.085,84.579,16.3227,9.64413,17.53
160.248,84.6755,16.3284,9.64963,17.54
160.411,84.7721,16.334,9.65514,17.55
160.575,84.8687,16.3396,9.66064,17.56
160.738,84.9654,16.3453,9.66614,17.57
160.902,85.0621,16.3509,9.67164,17.58
161.065,85.1588,16.3565,9.67714,17.59
161.229,85.2557,16.3621,9.68264,17.6
161.392,85.3526,16.3677,9.68814,17.61
161.556,85.4495,16.3734,9.69365,17.62
161.72,85.5465,16.379,9.69915,17.63
161.884,85.6435,16.3846,9.70465,17.64
162.048,85.7406,16.3902,9.71015,17.65
162.212,85.8378,16.3958,9.71565,17.66
162.376,85.935,16.4013,9.72115,17.67
162.54,86.0323,16.4069,9.72666,17.68
162.704,86.1296,16.4125,9.73216,17.69
162.868,86.227,16.4181,9.73766,17.7
163.032,86.3244,16.4236,9.74316,17.71
163.197,86.4219,16.4292,9.74866,17.72
163.361,86.5194,16.4348,9.75416,17.73
163.525,86.617,16.4403,9.75966,17.74
163.69,86.7147,16.4459,9.76517,17.75
163.854,86.8124,16.4514,9.77067,17.76
164.019,86.9101,16.457,9.77617,17.77
164.184,87.008,16.4625,9.78167,17.78
164.348,87.1058,16.4681,9.78717,17.79
164.513,87.2038,16.4736,9.79267,17.8
164.678,87.3017,16.4791,9.79817,17.81
164.843,87.3998,16.4847,9.80368,17.82
165.007,87.4979,16.4902,9.80918,17.83
165.172,87.596,16.4957,9.81468,17.84
165.337,87.6942,16.5012,9.82018,17.85
165.503,87.7925,16.5067,9.82568,17.86
165.668,87.8908,16.5122,9.83118,17.87
165.833,87.9891,16.5177,9.83669,17.88
165.998,88.0876,16.5232,9.84219,17.89
166.163,88.186,16.5287,9.84769,17.9
166.329,88.2846,16.5342,9.85319,17.91
166.494,88.3832,16.5397,9.85869,17.92
166.66,88.4818,16.5452,9.86419,17.93
166.825,88.5805,16.5506,9.86969,17.94
166.991,88.6793,16.5561,9.8752,17.95
167.156,88.7781,16.5616,9.8807,17.96
167.322,88.8769,16.567,9.8862,17.97
167.488,88.9758,16.5725,9.8917,17.98
167.653,89.0748,16.578,9.8972,17.99
167.819,89.1738,16.5834,9.9027,18
167.985,89.2729,16.5888,9.9082,18.01
168.151,89.3721,16.5943,9.91371,18.02
168.317,89.4713,16.5997,9.91921,18.03
168.483,89.5705,16.6052,9.92471,18.04
168.649,89.6698,16.6106,9.93021,18.05
168.815,89.7692,16.616,9.93571,18.06
168.982,89.8686,16.6214,9.94121,18.07
169.148,89.968,16.6269,9.94672,18.08
169.314,90.0676,16.6323,9.95222,18.09
169.481,90.1671,16.6377,9.95772,18.1
169.647,90.2668,16.6431,9.96322,18.11
169.813,90.3665,16.6485,9.96872,18.12
169.98,90.4662,16.6539,9.97422,18.13
170.147,90.566,16.6593,9.97972,18.14
170.313,90.6658,16.6647,9.98523,18.15
170.48,90.7658,16.67,9.99073,18.16
170.647,90.8657,16.6754,9.99623,18.17
170.814,90.9657,16.6808,10.0017,18.18
170.98,91.0658,16.6862,10.0072,18.19
171.147,91.1659,16.6915,10.0127,18.2
171.314,91.2661,16.6969,10.0182,18.21
171.481,91.3664,16.7023,10.0237,18.22
171.648,91.4666,16.7076,10.0292,18.23
171.815,91.567,16.713,10.0347,18.24
171.983,91.6674,16.7183,10.0402,18.25
172.15,91.7679,16.7237,10.0457,18.26
172.317,91.8684,16.729,10.0512,18.27
172.485,91.9689,16.7343,10.0567,18.28
172.652,92.0696,16.7397,10.0622,18.29
172.819,92.1702,16.745,10.0677,18.3
172.987,92.271,16.7503,10.0732,18.31
173.154,92.3718,16.7556,10.0788,18.32
173.322,92.4726,16.761,10.0843,18.33
173.49,92.5735,16.7663,10.0898,18.34
173.657,92.6744,16.7716,10.0953,18.35
173.825,92.7755,16.7769,10.1008,18.36
173.993,92.8765,16.7822,10.1063,18.37
174.161,92.9776,16.7875,10.1118,18.38
174.329,93.0788,16.7928,10.1173,18.39
174.497,93.18,16.798,10.1228,18.4
174.665,93.2813,16.8033,10.1283,18.41
174.833,93.3827,16.8086,10.1338,18.42
175.001,93.484,16.8139,10.1393,18.43
175.169,93.5855,16.8192,10.1448,18.44
175.337,93.687,16.8244,10.1503,18.45
175.506,93.7886,16.8297,10.1558,18.46
175.674,93.8902,16.8349,10.1613,18.47
175.843,93.9918,16.8402,10.1668,18.48
176.011,94.0936,16.8454,10.1723,18.49
176.18,94.1953,16.8507,10.1778,18.5
176.348,94.2972,16.8559,10.1833,18.51
176.517,94.3991,16.8612,10.1888,18.52
176.685,94.501,16.8664,10.1943,18.53
176.854,94.603,16.8716,10.1998,18.54
177.023,94.7051,16.8769,10.2053,18.55
177.192,94.8072,16.8821,10.2108,18.56
177.361,94.9093,16.8873,10.2163,18.57
177.529,95.0115,16.8925,10.2218,18.58
177.698,95.1138,16.8977,10.2273,18.59
177.867,95.2161,16.9029,10.2328,18.6
178.037,95.3185,16.9081,10.2383,18.61
178.206,95.421,16.9133,10.2438,18.62
178.375,95.5235,16.9185,10.2493,18.63
178.544,95.626,16.9237,10.2548,18.64
178.713,95.7286,16.9289,10.2603,18.65
178.883,95.8313,16.9341,10.2658,18.66
179.052,95.934,16.9393,10.2713,18.67
179.222,96.0367,16.9444,10.2768,18.68
179.391,96.1396,16.9496,10.2823,18.69
179.561,96.2424,16.9548,10.2878,18.7
179.73,96.3454,16.9599,10.2933,18.71
179.9,96.4484,16.9651,10.2988,18.72
180.07,96.5514,16.9702,10.3043,18.73
180.239,96.6545,16.9754,10.3098,18.74
180.409,96.7577,16.9805,10.3153,18.75
180.579,96.8609,16.9857,10.3208,18.76
180.749,96.9641,16.9908,10.3263,18.77
180.919,97.0675,16.9959,10.3318,18.78
181.089,97.1708,17.0011,10.3373,18.79
181.259,97.2743,17.0062,10.3428,18.8
181.429,97.3777,17.0113,10.3483,18.81
181.599,97.4813,17.0164,10.3538,18.82
181.769,97.5849,17.0215,10.3593,18.83
181.94,97.6885,17.0267,10.3648,18.84
182.11,97.7922,17.0318,10.3703,18.85
182.28,97.896,17.0369,10.3758,18.86
182.451,97.9998,17.042,10.3813,18.87
182.621,98.1037,17.0471,10.3868,18.88
182.792,98.2076,17.0521,10.3923,18.89
182.962,98.3116,17.0572,10.3978,18.9
183.133,98.4156,17.0623,10.4033,18.91
183.304,98.5197,17.0674,10.4088,18.92
